PG,SG,SF,PF,C,G,F,UTIL,Unnamed: 8,Proj Score,25th,50th,75th,85th,95th,99th,Ownership,Salary,Sim Optimals,Actual,Large Slate | 100-1k,Large Slate | 10k-50k,Large Slate | 1k-10k,Large Slate | 50k+,Single Game,Small Slate | 100-1k,Small Slate | 10k-50k,Small Slate | 1k-10k,Small Slate | 50k+,Saber Score
42180459,42180551,42180528,42180555,42180577,42180456,42180531,42180468,,247.90000000000003,231.04525756835935,248.54525756835935,265.5452575683594,274.7952575683594,290.3202575683593,307.83275756835934,242.0,50000,1,0,105.41112871504674,99.66877608557596,102.51984005965043,96.81771211150148,173.05879341801466,102.43769244842456,99.58662847435006,99.58662847435006,86.89044932950513,137.33702898025513
42180551,42180547,42180544,42180465,42180454,42180540,42180485,42180520,,245.3,228.60499572753903,245.29249572753903,261.91748046875,270.41748046875,286.19248046875,304.43248046875,234.0,49900,1,0,104.35749719387285,98.90299155375232,101.61882133239496,96.18716177510971,172.50320938632078,101.56857564713904,98.8527458684964,98.8527458684964,86.39505747190303,54.10112142562866
42180476,42180498,42180555,42180485,42180526,42180459,42180507,42180493,,247.2,230.1925048828125,248.2550048828125,266.0050048828125,274.0425048828125,291.2800048828125,307.0100048828125,256.0,49700,1,0,104.9979178367514,99.09806766069538,102.0574685015458,96.13866681984496,172.61972095531266,101.91712514449836,98.95772430364796,98.95772430364796,86.18100813317085,88.55043649673462
42180456,42180468,42180528,42180507,42180575,42180601,42180465,42180520,,240.1,226.1137542724609,240.4262542724609,256.92626953125,265.92626953125,280.46376953125,300.68126953125,204.0,49900,1,0,102.48115256549316,97.69246865996934,100.05916188318312,95.32577543675556,171.5493776520633,100.0836528138936,97.71695959067983,97.71695959067983,85.8149208551547,12.263680249452593
42180459,42180583,42180531,42180485,42180577,42180540,42180528,42180454,,246.3,231.21875,246.21875,262.21875,271.21875,284.23125,304.73375,252.0,49100,1,0,104.60693968766664,98.70520864869238,101.59734432290604,95.81307297447871,172.4683100653932,101.62258654273784,98.7304508685242,98.7304508685242,86.05674251758299,63.5331392288208
42180547,42180472,42180544,42180507,42180599,42180517,42180485,42180454,,244.5,227.9160003662109,244.9160003662109,261.666015625,270.416015625,283.67851409912106,297.9185153198242,237.0,49700,1,0,104.02384746993036,98.4530159202563,101.18473065317244,95.72130118734016,172.21726950160215,101.01407398882678,98.28235925591063,98.28235925591063,85.84055715206517,52.27236747741699
42180456,42180520,42180555,42180462,42180588,42180517,42180465,42180577,,240.0,224.5,240.0,257.3125,266.0375,284.775,300.77,170.0,50000,1,0,102.7423531941544,98.6886806164655,100.7584304241509,96.6189308087801,172.11149323609862,100.64061827179,98.5708684641046,98.5708684641046,86.96974454998553,21.0502564907074
42180559,42180472,42180485,42180531,42180493,42180498,42180507,42180459,,247.30000000000004,230.375,247.875,266.75,275.5,288.025,306.7525,248.0,49900,1,0,105.18947008444768,99.32763685327936,102.18723659075349,96.46803711580526,172.85109440908676,102.14833675113756,99.28873701366344,99.28873701366344,86.60785054068496,89.00650143623352
42180520,42180498,42180544,42180620,42180454,42180551,42180465,42180493,,242.2,225.66749572753903,241.91749572753903,258.16748046875,267.16748046875,281.92998046875,299.69998046875,216.0,49900,1,0,103.2275694523872,98.18012941244456,100.67871605416748,95.68154277072163,171.9527870024954,100.62297630897817,98.12438966725524,98.12438966725524,86.00705798978966,51.77316069602966
42180476,42180468,42180555,42180462,42180526,42180459,42180528,42180577,,239.7,223.4312438964844,239.6812438964844,256.1812438964844,267.4687438964844,281.1812438964844,301.4312438964844,212.0,49800,1,0,102.21879207387792,97.08203314971702,99.6073017370846,94.55676456234944,171.1051419356699,99.6312503986344,97.10598181126682,97.10598181126682,85.06125333509858,31.893616914749146
